DATABASE	FORMULA	CHARGE
cpd00622_c0	C9H11N5O3	0
cpd00623_c0	C18H40NO2	1
cpd00624_c0	C8H20N6O4	2
cpd00625_c0	C11H6O4	0
cpd00626_c0	C16H24N2O16P2	-2
cpd00627_c0	C10H18O	0
cpd00628_c0	C14H17NO6	0
cpd00629_c0	C26H35N7O18P3S	-3
cpd00630_c0	C6H6O5	-2
cpd00631_c0	C8H8NO4	-1
cpd00632_c0	C10H16O2	0
cpd00633_c0	C4H8O2	0
cpd00634_c0	C16H17O9	-1
cpd00635_c0	C62H89CoN13O14P	0
cpd00636_c0	C6H12O	0
cpd00637_c0	C5H11NO2S	0
cpd00638_c0	C21H24N6O15P2	-2
cpd00639_c0	C16H12O4	0
cpd00640_c0	C19H23O6	-1
cpd00641_c0	C6H12N3O	1
cpd00642_c0	C6H12O5	0
cpd00643_c0	C34H40N4O15	-4
cpd00644_c0	C9H16NO5	-1
cpd00645_c0	C18H33O3	-1
cpd00646_c0	C6H5NO3	0
cpd00647_c0	C3H4NO4	-1
cpd00648_c0	C62H90N17O14	1
cpd00649_c0	C29H32N5O18P	-4
cpd00650_c0	C25H37N7O17P3S	-3
cpd00651_c0	C5H9O6	-1
cpd00652_c0	C6H8O8	-2
cpd00653_c0	C6H11O7	-1
cpd00654_c0	C9H13N3O4	0
cpd00655_c0	C21H33N7O13P2S	-2
cpd00656_c0	C18H32O16	0
cpd00657_c0	C10H16N4O3	0
cpd00658_c0	C10H8O6	-2
cpd00659_c0	HN2O	1
cpd00660_c0	C26H41N7O17P3S	-3
cpd00661_c0	C21H34O	0
cpd00662_c0	C21H36O	0
cpd00663_c0	C24H35N7O17P3S	-3
cpd00664_c0	C14H22N2O3SCl	1
cpd00665_c0	C12H22O11	0
cpd00666_c0	C4H4O6	-2
cpd00667_c0	C20H30O	0
cpd00668_c0	C5H7O4	-1
cpd00669_c0	C6H9O3	-1
cpd00670_c0	C9H8O	0
cpd00671_c0	C26H38N7O20P3S	-4
cpd00672_c0	C6H9O7	-1
cpd00673_c0	C5H8N2O2	0
cpd00674_c0	C19H44N5O7	5
cpd00675_c0	C20H29O3	-1
cpd00676_c0	C5H9O4R	0
cpd00677_c0	C6H7N5	0
cpd00678_c0	C24H22N2	2
cpd00679_c0	C16H20N3O8S	-1
